CASE_NO,ACCD_TP,Sub_bur,Eve_time,YEAR,MONTH,HOUR,Two_HOUR,Three_HOUR,WEEKDAY,Distr,Num_casual,Num_wound,Weather,Light_condition,Road_category,Speed_limit,Road_type,Acc_location,Pavement_con,Signal_classfication,Accident_type,Sex,AGE,Protect_equip,Mobile,Car_type,Move_type,Qualified,Alcohol
C9121754,2,C9,10212022335,102,12,23,12,8,1,100,0,1,3,2,2,40,1,4,2,1,12,1,4,1,1,6,9,1,1
CD125580,2,CD,10212022150,102,12,21,11,8,1,112,0,1,2,2,2,50,1,1,2,2,17,2,6,1,1,3,5,1,1
CD125580,2,CD,10212022150,102,12,21,11,8,1,112,0,1,2,2,2,50,1,1,2,2,17,1,2,1,1,6,9,1,1
CD128475,2,CD,10212031840,102,12,18,10,7,2,112,0,2,3,2,2,50,1,1,2,4,16,1,3,1,4,3,11,1,1
CD128475,2,CD,10212031840,102,12,18,10,7,2,112,0,2,3,2,2,50,1,1,2,4,16,1,2,1,4,6,9,1,1
CD128475,2,CD,10212031840,102,12,18,10,7,2,112,0,2,3,2,2,50,1,1,2,4,16,1,2,4,3,8,20,3,1
CI132311,2,CI,10212031140,102,12,11,6,4,2,110,0,1,3,1,2,50,2,3,2,4,16,1,7,1,1,4,8,1,1
CI132311,2,CI,10212031140,102,12,11,6,4,2,110,0,1,3,1,2,50,2,3,2,4,16,2,5,1,1,6,9,1,1
CH114451,2,CH,10212031228,102,12,12,7,5,2,115,0,2,3,1,2,50,1,1,2,1,15,2,3,1,1,6,9,1,1
CA114416,2,CA,10212031835,102,12,18,10,7,2,100,0,3,3,2,2,50,2,3,2,4,13,1,6,3,4,1,9,1,1
CA114416,2,CA,10212031835,102,12,18,10,7,2,100,0,3,3,2,2,50,2,3,2,4,13,1,3,3,4,6,8,1,1
CA114416,2,CA,10212031835,102,12,18,10,7,2,100,0,3,3,2,2,50,2,3,2,4,13,1,1,4,3,8,20,3,2
CF111383,2,CF,10212031855,102,12,18,10,7,2,116,0,2,3,2,2,50,4,4,2,4,11,2,5,1,1,6,9,1,1
C7151654,2,C7,10212021917,102,12,19,10,7,1,104,0,2,2,2,2,50,2,3,2,1,3,1,8,1,1,6,9,1,1
C7151654,2,C7,10212021917,102,12,19,10,7,1,104,0,2,2,2,2,50,2,3,2,1,3,2,4,4,3,8,20,3,1
CF111383,2,CF,10212031855,102,12,18,10,7,2,116,0,2,3,2,2,50,4,4,2,4,11,2,2,4,3,8,20,3,2
CA114416,2,CA,10212031835,102,12,18,10,7,2,100,0,3,3,2,2,50,2,3,2,4,13,2,5,4,3,8,20,3,2
CC142649,2,CC,10211291430,102,11,14,8,5,5,111,0,2,3,1,2,50,1,1,2,4,17,1,6,1,1,3,6,1,1
C5131219,2,C5,10212010740,102,12,7,4,3,7,103,0,1,3,1,2,50,1,1,2,2,12,1,6,1,1,6,6,1,1
C5131219,2,C5,10212010740,102,12,7,4,3,7,103,0,1,3,1,2,50,1,1,2,2,12,1,6,2,1,6,9,1,1
C8144465,2,C8,10211291806,102,11,18,10,7,5,106,0,1,3,2,2,40,2,3,2,4,12,1,4,1,1,3,9,1,1
CA117411,2,CA,10211300001,102,11,0,1,1,6,100,0,2,3,2,2,50,1,1,2,1,15,2,3,1,1,6,9,1,1
CA117411,2,CA,10211300001,102,11,0,1,1,6,100,0,2,3,2,2,50,1,1,2,1,15,2,3,1,1,6,1,1,1
CD128739,2,CD,10212011225,102,12,12,7,5,7,112,0,1,3,1,2,60,1,1,2,4,16,1,5,1,1,3,6,1,1
C7150850,2,C7,10212011100,102,12,11,6,4,7,104,0,2,3,1,2,50,1,1,2,1,17,1,3,1,4,6,8,1,1
C7150850,2,C7,10212011100,102,12,11,6,4,7,104,0,2,3,1,2,50,1,1,2,1,17,1,7,1,4,6,9,1,1
CD128739,2,CD,10212011225,102,12,12,7,5,7,112,0,1,3,1,2,60,1,1,2,4,16,1,2,1,1,6,9,1,1
CD129760,2,CD,10211301140,102,11,11,6,4,6,112,0,1,3,1,2,40,1,1,2,3,15,2,4,3,4,7,9,3,1
CE115778,2,CE,10211291700,102,11,17,9,6,5,116,0,1,3,1,2,50,1,1,2,1,16,2,2,1,1,6,9,1,1
CH114444,2,CH,10211220603,102,11,6,4,3,5,115,0,1,3,1,2,50,2,4,2,4,17,1,7,1,1,6,7,1,1
CE115779,2,CE,10211301135,102,11,11,6,4,6,116,0,1,3,1,2,50,1,1,2,4,17,1,6,1,1,5,8,1,1
CE115779,2,CE,10211301135,102,11,11,6,4,6,116,0,1,3,1,2,50,1,1,2,4,17,1,3,1,1,6,9,1,1
CH114444,2,CH,10211220603,102,11,6,4,3,5,115,0,1,3,1,2,50,2,4,2,4,17,2,5,1,4,3,8,1,1
C5132166,2,C5,10212111150,102,12,11,6,4,3,103,0,1,2,1,2,50,1,1,2,2,17,2,3,1,4,6,9,1,1
C9121577,2,C9,10212110720,102,12,7,4,3,3,100,0,1,3,1,2,50,1,1,2,2,11,1,2,1,1,6,9,1,1
CG144187,2,CG,10212110846,102,12,8,5,3,3,114,0,1,3,1,2,40,2,3,2,4,16,1,4,1,1,3,6,1,1
CF111275,2,CF,10212110840,102,12,8,5,3,3,116,0,1,2,1,2,40,1,1,2,4,15,1,6,1,1,3,9,1,1
CG144187,2,CG,10212110846,102,12,8,5,3,3,114,0,1,3,1,2,40,2,3,2,4,16,2,4,1,1,6,9,1,1
C5132371,2,C5,10212111204,102,12,12,7,5,3,103,0,1,3,1,2,50,1,1,2,4,12,1,7,1,4,6,9,1,1
CE114509,2,CE,10212111248,102,12,12,7,5,3,116,0,1,2,1,2,50,2,4,2,4,14,2,8,1,1,6,9,2,1
C7151400,2,C7,10212031830,102,12,18,10,7,2,104,0,1,3,2,2,50,2,4,2,4,16,1,6,1,1,6,9,1,1
CI131104,2,CI,10212051326,102,12,13,7,5,4,110,0,1,3,1,2,50,1,1,2,2,16,2,6,1,1,3,5,1,1
CI131718,2,CI,10212020710,102,12,7,4,3,1,110,0,1,3,1,2,50,1,1,2,4,15,1,4,1,1,6,9,1,1
C7900485,2,C7,10205151648,102,5,16,9,6,3,104,0,1,3,1,2,50,1,1,2,1,15,1,3,1,1,6,9,1,1
C8143282,2,C8,10212051435,102,12,14,8,5,4,106,0,1,3,1,2,50,2,4,2,4,17,1,5,1,1,3,15,1,1
CG144694,2,CG,10212050900,102,12,9,5,4,4,114,0,1,3,1,2,50,1,4,2,2,17,1,5,3,4,3,21,4,2
CI131169,2,CI,10212051345,102,12,13,7,5,4,110,0,1,3,1,2,50,2,6,2,4,16,1,3,1,4,6,9,1,1
C9121672,2,C9,10212110950,102,12,9,5,4,3,100,0,2,2,1,2,50,1,1,2,1,16,1,3,1,1,6,9,1,1
